Campaign_Name,Placement_Name,Creative_Name,Site_Name,Date,Ad_Type,Environment,Device,Impressions,Clicks,CTR,Total_Conversions,Post_Click_Conversions,Post_View_Conversions,Click_Through_Conversions,View_Through_Conversions,Media_Cost,Revenue,ROAS,CPM,CPC,CPA,Viewable_Impressions,Measurable_Impressions,Viewability_Rate,Active_View_Viewable_Impressions,Active_View_Measurable_Impressions,Active_View_Eligible_Impressions,Active_View_Avg_Time_Seconds
Holiday_Campaign_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-01,Display,Mobile,Mobile,3487968,88842,2.55,5412,4600,812,4600,812,180245.19,1016328.95,5.64,51.68,2.03,33.3,3139171,3487968,90.0,3139171,3487968,3487968,12.2
Holiday_Campaign_2024,Video_Placement,Video_Creative,TechReview.com,2024-06-01,Video,Desktop,Desktop,2648767,51488,1.94,2841,2414,427,2414,427,93631.71,468730.24,5.01,35.35,1.82,32.96,2383890,2648767,90.0,2383890,2648767,2648767,11.4
Black_Friday_2024,Video_Placement,Video_Creative,Lifestyle.com,2024-06-01,Video,Desktop,Desktop,1610992,36411,2.26,2939,2498,441,2498,441,82234.01,504370.38,6.13,51.05,2.26,27.98,1449892,1610992,90.0,1449892,1610992,1610992,14.5
Black_Friday_2024,Native_Placement,Native_Creative,PremiumNews.com,2024-06-01,Native,Mobile,Mobile,1446439,28984,2.0,1632,1387,245,1387,245,72707.45,289310.61,3.98,50.27,2.51,44.55,1301795,1446439,90.0,1301795,1446439,1446439,14.1
Cyber_Monday_2024,Display_Placement,Display_Creative,Lifestyle.com,2024-06-01,Display,Mobile,Mobile,2484759,58369,2.35,4301,3655,646,3655,646,146338.24,781106.88,5.34,58.89,2.51,34.02,2236283,2484759,90.0,2236283,2484759,2484759,15.1
Cyber_Monday_2024,Video_Placement,Video_Creative,PremiumNews.com,2024-06-01,Video,Desktop,Desktop,1825393,49911,2.73,4264,3624,640,3624,640,115132.08,635052.42,5.52,63.07,2.31,27.0,1642853,1825393,90.0,1642853,1825393,1825393,13.4
Summer_Sale_2024,Video_Placement,Video_Creative,PremiumNews.com,2024-06-01,Video,Desktop,Desktop,2361196,57213,2.42,4466,3796,670,3796,670,101461.49,766050.19,7.55,42.97,1.77,22.72,2125076,2361196,90.0,2125076,2361196,2361196,12.1
Summer_Sale_2024,Native_Placement,Native_Creative,PremiumNews.com,2024-06-01,Native,Desktop,Desktop,1369361,30173,2.2,2237,1901,336,1901,336,68926.37,399523.69,5.8,50.33,2.28,30.81,1232424,1369361,90.0,1232424,1369361,1369361,16.2
Back_To_School_2024,Video_Placement,Video_Creative,TechReview.com,2024-06-01,Video,Desktop,Desktop,2459340,60220,2.45,3614,3071,543,3071,543,141868.14,667122.49,4.7,57.69,2.36,39.26,2213406,2459340,90.0,2213406,2459340,2459340,14.2
Back_To_School_2024,Native_Placement,Native_Creative,TechReview.com,2024-06-01,Native,Desktop,Desktop,1361889,38726,2.84,3675,3123,552,3123,552,77098.7,639240.93,8.29,56.61,1.99,20.98,1225700,1361889,90.0,1225700,1361889,1361889,15.4
Spring_Launch_2024,Native_Placement,Native_Creative,Shopping.com,2024-06-01,Native,Desktop,Desktop,1031691,24047,2.33,1915,1627,288,1627,288,53513.57,332923.74,6.22,51.87,2.23,27.94,928521,1031691,90.0,928521,1031691,1031691,11.8
Spring_Launch_2024,Display_Placement,Display_Creative,Shopping.com,2024-06-01,Display,Mobile,Mobile,2160916,58135,2.69,5312,4515,797,4515,797,135392.84,879770.72,6.5,62.66,2.33,25.49,1944824,2160916,90.0,1944824,2160916,2160916,14.6
