Advertiser,Insertion_Order,Line_Item,Creative,Date,Environment,Exchange,Device,Inventory_Type,Impressions,Clicks,CTR,Conversions,Post_Click_Conv,Post_View_Conv,Revenue_Adv_Currency,Media_Cost_Adv_Currency,ROAS,CPM,CPC,CPA,Viewable_Impressions,Measurable_Impressions,Viewability_Percent,Active_View_Viewable_Impressions,Active_View_Measurable_Impressions,Video_Completions,Video_Completion_Rate,Video_Quartile_1,Video_Quartile_2,Video_Quartile_3
Premium_Brand_2024,Holiday_Campaign_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,YouTube,Mobile,Programmatic_Guaranteed,2681319,47919,1.79,2531,2176,355,424004.04,77922.32,5.44,29.06,1.63,30.79,2413187,2681319,90.0,2413187,2681319,1608791,60.0,2413187,2145055,1608791
Premium_Brand_2024,Holiday_Campaign_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Hulu,Desktop,Programmatic_Guaranteed,2768518,29379,1.06,2612,2246,366,437678.61,57872.24,7.56,20.9,1.97,22.16,2491666,2768518,90.0,2491666,2768518,0,0.0,0,0,0
Premium_Brand_2024,Black_Friday_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Google_Ad_Manager,Connected_TV,Programmatic_Guaranteed,3124136,52929,1.69,3201,2752,449,554827.04,94588.17,5.87,30.28,1.79,29.55,2811722,3124136,90.0,2811722,3124136,0,0.0,0,0,0
Premium_Brand_2024,Black_Friday_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,Google_Ad_Manager,Connected_TV,Open_Auction,3466764,58440,1.69,3658,3145,513,637674.3,105866.6,6.02,30.54,1.81,28.94,3120087,3466764,90.0,3120087,3466764,2080058,60.0,3120087,2773411,2080058
Premium_Brand_2024,Cyber_Monday_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Google_Ad_Manager,Desktop,Open_Auction,2227029,36400,1.63,2727,2345,382,448145.79,67360.53,6.65,30.25,1.85,24.7,2004326,2227029,90.0,2004326,2227029,0,0.0,0,0,0
Premium_Brand_2024,Cyber_Monday_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,Google_Ad_Manager,Connected_TV,Open_Auction,2975049,48518,1.63,3260,2803,457,485938.73,80772.4,6.02,27.15,1.66,24.78,2677544,2975049,90.0,2677544,2975049,1785029,60.0,2677544,2380039,1785029
Premium_Brand_2024,Summer_Sale_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,AppNexus,Desktop,Programmatic_Guaranteed,1120937,20521,1.83,1400,1204,196,276534.26,42535.79,6.5,37.95,2.07,30.38,1008843,1120937,90.0,1008843,1120937,0,0.0,0,0,0
Premium_Brand_2024,Summer_Sale_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,Google_Ad_Manager,Desktop,Open_Auction,1770414,25721,1.45,1842,1584,258,370095.04,57007.95,6.49,32.2,2.22,30.95,1593372,1770414,90.0,1593372,1770414,1062248,60.0,1593372,1416331,1062248
Premium_Brand_2024,Back_To_School_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,Hulu,Connected_TV,Private_Marketplace,2349737,38245,1.63,3352,2882,470,650840.47,84642.19,7.69,36.02,2.21,25.25,2114763,2349737,90.0,2114763,2349737,1409842,60.0,2114763,1879789,1409842
Premium_Brand_2024,Back_To_School_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Google_Ad_Manager,Connected_TV,Open_Auction,2342651,35444,1.51,2901,2494,407,545971.81,60309.26,9.05,25.74,1.7,20.79,2108385,2342651,90.0,2108385,2342651,0,0.0,0,0,0
Premium_Brand_2024,Spring_Launch_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,YouTube,Connected_TV,Open_Auction,1244816,19514,1.57,1653,1421,232,310055.29,37007.36,8.38,29.73,1.9,22.39,1120334,1244816,90.0,1120334,1244816,0,0.0,0,0,0
Premium_Brand_2024,Spring_Launch_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,Google_Ad_Manager,Desktop,Private_Marketplace,3462777,56531,1.63,3996,3436,560,770969.84,109169.99,7.06,31.53,1.93,27.32,3116499,3462777,90.0,3116499,3462777,2077666,60.0,3116499,2770221,2077666
Premium_Brand_2024,Valentine_Day_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,Hulu,Connected_TV,Private_Marketplace,2326131,36664,1.58,1973,1696,277,393295.44,73290.98,5.37,31.51,2.0,37.15,2093517,2326131,90.0,2093517,2326131,1395678,60.0,2093517,1860904,1395678
Premium_Brand_2024,Valentine_Day_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Hulu,Mobile,Open_Auction,1192599,17051,1.43,1409,1211,198,248077.73,31516.38,7.87,26.43,1.85,22.37,1073339,1192599,90.0,1073339,1192599,0,0.0,0,0,0
Premium_Brand_2024,New_Year_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Hulu,Mobile,Private_Marketplace,1172483,14665,1.25,1141,981,160,208448.1,32355.36,6.44,27.6,2.21,28.36,1055234,1172483,90.0,1055234,1172483,0,0.0,0,0,0
Premium_Brand_2024,New_Year_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,YouTube,Mobile,Programmatic_Guaranteed,3112130,49641,1.6,4121,3544,577,630918.09,115497.32,5.46,37.11,2.33,28.03,2800917,3112130,90.0,2800917,3112130,1867278,60.0,2800917,2489704,1867278
Premium_Brand_2024,Q3_Promo_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Google_Ad_Manager,Desktop,Programmatic_Guaranteed,3449365,42113,1.22,2886,2481,405,523522.9,82106.78,6.38,23.8,1.95,28.45,3104428,3449365,90.0,3104428,3449365,0,0.0,0,0,0
Premium_Brand_2024,Q3_Promo_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,YouTube,Connected_TV,Open_Auction,2564659,34423,1.34,1749,1504,245,276233.45,54634.08,5.06,21.3,1.59,31.24,2308193,2564659,90.0,2308193,2564659,1538795,60.0,2308193,2051727,1538795
Premium_Brand_2024,Flash_Sale_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,YouTube,Connected_TV,Programmatic_Guaranteed,1467350,20920,1.43,1192,1025,167,220083.01,46053.81,4.78,31.39,2.2,38.64,1320615,1467350,90.0,1320615,1467350,880410,60.0,1320615,1173880,880410
Premium_Brand_2024,Flash_Sale_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Google_Ad_Manager,Desktop,Private_Marketplace,2066291,36516,1.77,3306,2843,463,554700.42,63944.38,8.67,30.95,1.75,19.34,1859661,2066291,90.0,1859661,2066291,0,0.0,0,0,0
Premium_Brand_2024,Holiday_Campaign_2024_IO,Display_LI,Display_Creative,2024-06-02,Display,Hulu,Mobile,Programmatic_Guaranteed,4232848,49697,1.17,2596,2232,364,449997.2,97722.84,4.6,23.09,1.97,37.64,3809563,4232848,90.0,3809563,4232848,0,0.0,0,0,0
