Date,Platform,Campaign_Name,Ad_Group,Impressions,Clicks,Spend_USD,Conversions,Revenue_USD
2024-09-01,Google Ads,Google Q4 Launch,Google_Remarketing,142831,1452,291.1,61,22528.67
2024-09-01,Meta Ads,Meta Q4 Launch,Meta_Brand,27342,295,4659.69,222,11763.51
2024-09-01,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Prospect,122599,1997,4618.51,55,19761.15
2024-09-01,YouTube,YouTube Q4 Launch,YouTube_Prospect,71917,514,2003.26,130,19747.54
2024-09-01,Snapchat,Snapchat Q4 Launch,Snapchat_Remarketing,78104,1514,3912.03,75,5619.03
2024-09-02,Google Ads,Google Q4 Launch,Google_Remarketing,56714,245,4172.52,225,6887.58
2024-09-02,Meta Ads,Meta Q4 Launch,Meta_Brand,10164,703,1037.52,131,22411.41
2024-09-02,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Prospect,82037,3944,4886.46,164,4820.18
2024-09-02,YouTube,YouTube Q4 Launch,YouTube_Remarketing,17714,3743,2526.5,147,18810.52
2024-09-02,Snapchat,Snapchat Q4 Launch,Snapchat_Remarketing,53740,1178,4276.33,126,10938.11
2024-09-03,Google Ads,Google Q4 Launch,Google_Remarketing,25470,1331,2611.43,61,5258.47
2024-09-03,Meta Ads,Meta Q4 Launch,Meta_Remarketing,12912,439,1537.68,200,2351.85
2024-09-03,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Prospect,18662,2232,4240.67,43,22637.05
2024-09-03,YouTube,YouTube Q4 Launch,YouTube_Remarketing,29803,461,2466.85,187,18289.71
2024-09-03,Snapchat,Snapchat Q4 Launch,Snapchat_Brand,30185,1250,1679.17,109,20226.35
2024-09-04,Google Ads,Google Q4 Launch,Google_Remarketing,23001,3473,284.02,88,7806.52
2024-09-04,Meta Ads,Meta Q4 Launch,Meta_Brand,72775,656,1286.54,242,10202.46
2024-09-04,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Remarketing,13394,1649,3759.01,88,19429.48
2024-09-04,YouTube,YouTube Q4 Launch,YouTube_Brand,126383,3641,2255.89,113,16845.19
2024-09-04,Snapchat,Snapchat Q4 Launch,Snapchat_Prospect,99731,2625,4044.99,54,6818.45
2024-09-05,Google Ads,Google Q4 Launch,Google_Brand,131501,2981,4713.17,74,13019.32
2024-09-05,Meta Ads,Meta Q4 Launch,Meta_Brand,98600,1357,2412.77,249,18193.69
2024-09-05,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Prospect,146916,1266,2859.01,41,13491.64
2024-09-05,YouTube,YouTube Q4 Launch,YouTube_Brand,105286,1035,2012.64,96,20219.74
2024-09-05,Snapchat,Snapchat Q4 Launch,Snapchat_Brand,113040,3991,4075.48,155,14756.97
2024-09-06,Google Ads,Google Q4 Launch,Google_Remarketing,143802,685,4358.16,229,10116.43
2024-09-06,Meta Ads,Meta Q4 Launch,Meta_Remarketing,108314,465,963.32,85,22776.36
2024-09-06,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Remarketing,103739,295,3229.09,105,17013.95
2024-09-06,YouTube,YouTube Q4 Launch,YouTube_Remarketing,20333,2440,920.41,155,6848.13
2024-09-06,Snapchat,Snapchat Q4 Launch,Snapchat_Brand,72991,3169,1164.34,52,12744.99
2024-09-07,Google Ads,Google Q4 Launch,Google_Prospect,95574,2822,1542.66,225,16498.17
2024-09-07,Meta Ads,Meta Q4 Launch,Meta_Brand,13428,705,2479.01,96,1900.34
2024-09-07,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Remarketing,42293,3160,2535.2,5,11409.06
2024-09-07,YouTube,YouTube Q4 Launch,YouTube_Prospect,32280,3386,2526.05,147,15112.4
2024-09-07,Snapchat,Snapchat Q4 Launch,Snapchat_Remarketing,107852,2175,2148.21,190,3995.01
2024-09-08,Google Ads,Google Q4 Launch,Google_Prospect,98329,3546,740.04,99,9562.36
2024-09-08,Meta Ads,Meta Q4 Launch,Meta_Brand,23253,3959,465.99,122,20035.84
2024-09-08,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Prospect,93646,2998,4871.23,14,11393.02
2024-09-08,YouTube,YouTube Q4 Launch,YouTube_Prospect,109582,1964,4651.47,231,10675.1
2024-09-08,Snapchat,Snapchat Q4 Launch,Snapchat_Prospect,112615,2652,340.32,103,9828.86
2024-09-09,Google Ads,Google Q4 Launch,Google_Prospect,89839,2720,4872.19,244,8621.45
2024-09-09,Meta Ads,Meta Q4 Launch,Meta_Prospect,125790,1655,2151.59,148,19113.28
2024-09-09,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Brand,64239,3975,4794.55,214,21525.07
2024-09-09,YouTube,YouTube Q4 Launch,YouTube_Prospect,126711,1719,2048.06,250,8992.5
2024-09-09,Snapchat,Snapchat Q4 Launch,Snapchat_Brand,31609,3978,4594.38,5,13971.31
2024-09-10,Google Ads,Google Q4 Launch,Google_Prospect,76304,682,3096.43,21,12406.24
2024-09-10,Meta Ads,Meta Q4 Launch,Meta_Remarketing,66849,3875,890.26,97,21621.91
2024-09-10,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Prospect,61249,1561,846.76,214,5423.52
2024-09-10,YouTube,YouTube Q4 Launch,YouTube_Remarketing,93441,2676,3813.99,29,8878.35
2024-09-10,Snapchat,Snapchat Q4 Launch,Snapchat_Brand,30907,3383,3727.95,238,2793.37
2024-09-11,Google Ads,Google Q4 Launch,Google_Remarketing,71979,628,2407.75,209,6801.57
2024-09-11,Meta Ads,Meta Q4 Launch,Meta_Remarketing,7378,1144,638.02,108,14590.06
2024-09-11,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Brand,111445,1490,943.33,67,1546.37
2024-09-11,YouTube,YouTube Q4 Launch,YouTube_Brand,21776,3000,3738.06,242,16813.76
2024-09-11,Snapchat,Snapchat Q4 Launch,Snapchat_Remarketing,72900,916,3597.75,248,18446.43
2024-09-12,Google Ads,Google Q4 Launch,Google_Remarketing,121122,2576,3648.09,195,4581.95
