Advertiser,Campaign,Ad_Group,Creative,Date,Channel,Device,Environment,Data_Provider,Audience_Segment,Impressions,Clicks,CTR,Conversions,Post_Click_Conv,Post_View_Conv,Conversion_Rate,Media_Cost,Revenue,ROAS,eCPM,eCPC,eCPA,Viewable_Impressions,Measurable_Impressions,Viewability_Rate,Video_Completions,Video_Completion_Rate,Frequency,Reach,Unique_Reach
Premium_Retail_2024,Holiday_Campaign_2024,Display_AG,Display_Creative,2024-06-01,Display,Connected_TV,CTV,LiveRamp,In_Market_Shoppers,1583999,26612,1.68,2500,2100,400,9.39,61540.49,359081.45,5.83,38.85,2.31,24.62,1425599,1583999,90.0,0,0.0,1.79,886737,798063
Premium_Retail_2024,Holiday_Campaign_2024,Native_AG,Native_Creative,2024-06-01,Native,Desktop,App,LiveRamp,High_Intent_Buyers,1766944,25117,1.42,1876,1575,301,7.47,46985.92,350927.4,7.47,26.59,1.87,25.05,1590249,1766944,90.0,0,0.0,1.73,1023157,920841
Premium_Retail_2024,Black_Friday_2024,Native_AG,Native_Creative,2024-06-01,Native,Connected_TV,Web,Experian,In_Market_Shoppers,1001911,14519,1.45,830,697,133,5.72,30101.01,138289.3,4.59,30.04,2.07,36.27,901719,1001911,90.0,0,0.0,1.55,647021,582318
Premium_Retail_2024,Black_Friday_2024,Video_AG,Video_Creative,2024-06-01,Video,Connected_TV,Web,Neustar,In_Market_Shoppers,1362858,25133,1.84,1588,1333,255,6.32,53712.91,250056.98,4.66,39.41,2.14,33.82,1226572,1362858,90.0,817714,60.0,1.51,901380,811242
Premium_Retail_2024,Cyber_Monday_2024,Video_AG,Video_Creative,2024-06-01,Video,Mobile,CTV,Neustar,In_Market_Shoppers,2316485,32756,1.41,2978,2501,477,9.09,60822.33,559694.1,9.2,26.26,1.86,20.42,2084836,2316485,90.0,1389891,60.0,1.72,1348076,1213268
Premium_Retail_2024,Cyber_Monday_2024,Native_AG,Native_Creative,2024-06-01,Native,Connected_TV,CTV,Neustar,Lookalike_Purchasers,1094212,21543,1.97,1177,988,189,5.46,46563.65,208531.89,4.48,42.55,2.16,39.56,984790,1094212,90.0,0,0.0,1.47,742475,668227
Premium_Retail_2024,Summer_Sale_2024,Native_AG,Native_Creative,2024-06-01,Native,Mobile,Web,Neustar,Behavioral_Shoppers,2706505,42797,1.58,3421,2873,548,7.99,73809.05,527498.67,7.15,27.27,1.72,21.58,2435854,2706505,90.0,0,0.0,1.59,1697645,1527880
Premium_Retail_2024,Summer_Sale_2024,Video_AG,Video_Creative,2024-06-01,Video,Mobile,Web,Neustar,Contextual_Shopping,2088740,27742,1.33,1445,1213,232,5.21,46014.95,258157.99,5.61,22.03,1.66,31.84,1879866,2088740,90.0,1253244,60.0,1.79,1169228,1052305
Premium_Retail_2024,Back_To_School_2024,Native_AG,Native_Creative,2024-06-01,Native,Connected_TV,Web,Experian,High_Intent_Buyers,3413883,40813,1.2,2365,1986,379,5.79,76413.15,424336.48,5.55,22.38,1.87,32.31,3072494,3413883,90.0,0,0.0,1.55,2201574,1981416
Premium_Retail_2024,Back_To_School_2024,Display_AG,Display_Creative,2024-06-01,Display,Connected_TV,App,Oracle,Behavioral_Shoppers,1750194,25096,1.43,2185,1835,350,8.71,50127.33,362477.07,7.23,28.64,2.0,22.94,1575174,1750194,90.0,0,0.0,1.57,1114087,1002678
Premium_Retail_2024,Spring_Launch_2024,Native_AG,Native_Creative,2024-06-01,Native,Desktop,App,Neustar,High_Intent_Buyers,2077339,31921,1.54,2747,2307,440,8.61,74859.18,468316.65,6.26,36.04,2.35,27.25,1869605,2077339,90.0,0,0.0,1.68,1233685,1110316
Premium_Retail_2024,Spring_Launch_2024,Display_AG,Display_Creative,2024-06-01,Display,Mobile,CTV,LiveRamp,In_Market_Shoppers,2351210,42177,1.79,3364,2825,539,7.98,87953.19,605906.94,6.89,37.41,2.09,26.15,2116089,2351210,90.0,0,0.0,1.53,1538104,1384293
Premium_Retail_2024,Valentine_Day_2024,Display_AG,Display_Creative,2024-06-01,Display,Mobile,App,Neustar,Contextual_Shopping,2829941,58205,2.06,4022,3378,644,6.91,104426.11,654229.73,6.27,36.9,1.79,25.96,2546946,2829941,90.0,0,0.0,1.53,1848186,1663367
Premium_Retail_2024,Valentine_Day_2024,Native_AG,Native_Creative,2024-06-01,Native,Connected_TV,Web,Neustar,Contextual_Shopping,1762250,34365,1.95,2111,1773,338,6.14,75246.36,327980.59,4.36,42.7,2.19,35.64,1586025,1762250,90.0,0,0.0,1.52,1157957,1042161
Premium_Retail_2024,New_Year_2024,Native_AG,Native_Creative,2024-06-01,Native,Connected_TV,Web,Neustar,In_Market_Shoppers,2080766,43068,2.07,3462,2908,554,8.04,94464.67,501828.29,5.31,45.4,2.19,27.29,1872689,2080766,90.0,0,0.0,1.55,1342469,1208222
Premium_Retail_2024,New_Year_2024,Video_AG,Video_Creative,2024-06-01,Video,Mobile,App,Oracle,Behavioral_Shoppers,2251070,32194,1.43,2766,2323,443,8.59,57398.98,420332.09,7.32,25.5,1.78,20.75,2025963,2251070,90.0,1350642,60.0,1.66,1355277,1219749
Premium_Retail_2024,Q3_Promo_2024,Video_AG,Video_Creative,2024-06-01,Video,Desktop,CTV,Neustar,Lookalike_Purchasers,1706538,23328,1.37,1762,1480,282,7.55,44506.98,286843.76,6.44,26.08,1.91,25.26,1535884,1706538,90.0,1023922,60.0,1.71,995230,895707
